r,u,v
2,0x2000200d,0x0c88688e
2,0x2000200d,0x0c88b883
2,0x2000200d,0x0d88688e
2,0x2000200d,0x0d889881
2,0x2000200d,0x0d88d885
2,0x2000200d,0x0e88488c
2,0x2000200d,0x0e88588d
2,0x2000200d,0x0e889881
2,0x2000200d,0x0f881889
2,0x2000200d,0x0f88d885
2,0x2000200d,0x0f88e886
2,0x2000200e,0x00888880
2,0x2000200e,0x0088f887
2,0x2000200e,0x0288788f
2,0x2000200e,0x0288a882
2,0x2000200e,0x0288b883
2,0x2000200e,0x0288f887
2,0x2000200e,0x0388288a
2,0x2000200e,0x0388388b
2,0x2000200e,0x0388a882
2,0x2000200e,0x0488388b
2,0x2000200e,0x0488c884
2,0x2000200e,0x0788288a
2,0x2000200e,0x07888880
2,0x2000200e,0x0788a882
2,0x2000200e,0x0788f887
2,0x2000200e,0x0a88288a
2,0x2000200e,0x0a88788f
2,0x2000200e,0x0a88b883
2,0x2000200e,0x0a88f887
2,0x2000200e,0x0b88388b
2,0x2000200e,0x0b88b883
2,0x2000200e,0x0b88c884
2,0x2000200e,0x0f88288a
2,0x2000200e,0x0f88a882
2,0x20002070,0x11100888
2,0x20002070,0x1ccd0888
2,0x20002070,0x2bb90888
2,0x20002070,0x3aa90888
2,0x20002070,0x3eed0888
2,0x20002070,0x41150888
2,0x20002070,0x45510888
2,0x20002070,0x499d0888
2,0x20002070,0x4cc80888
2,0x20002070,0x4dd90888
2,0x20002070,0x55500888
2,0x20002070,0x5cc90888
2,0x20002070,0x6bbd0888
2,0x20002070,0x6ee80888
2,0x20002070,0x73340888
2,0x20002070,0x7ff80888
2,0x20002070,0x80080888
2,0x20002070,0x844c0888
2,0x20002070,0x91180888
2,0x20002070,0x955c0888
2,0x20002070,0x99900888
2,0x20002070,0x9cc50888
2,0x20002070,0xa3390888
2,0x20002070,0xb2290888
2,0x20002070,0xbff40888
2,0x20002070,0xc00c0888
2,0x20002070,0xd11c0888
2,0x20002070,0xd5580888
2,0x20002070,0xdcc10888
2,0x20002070,0xddd00888
2,0x20002070,0xe7790888
2,0x20002070,0xf6690888
2,0x20002070,0xf7780888
2,0x200020b0,0x1ddc0888
2,0x200020b0,0x23310888
2,0x200020b0,0x24460888
2,0x200020b0,0x30030888
2,0x200020b0,0x32210888
2,0x200020b0,0x3bb80888
2,0x200020b0,0x4cc80888
2,0x200020b0,0x599c0888
2,0x200020b0,0x60060888
2,0x200020b0,0x67710888
2,0x200020b0,0x74430888
2,0x200020b0,0x76610888
2,0x200020b0,0x833b0888
2,0x200020b0,0x844c0888
2,0x200020b0,0x866e0888
2,0x200020b0,0x8bb30888
2,0x200020b0,0x8ee60888
2,0x200020b0,0x955c0888
2,0x200020b0,0xa44e0888
2,0x200020b0,0xabb10888
2,0x200020b0,0xb00b0888
2,0x200020b0,0xb3380888
2,0x200020b0,0xbaa10888
2,0x200020b0,0xc00c0888
2,0x200020b0,0xc22e0888
2,0x200020b0,0xc4480888
2,0x200020b0,0xc77b0888
2,0x200020b0,0xcaa60888
2,0x200020b0,0xcff30888
2,0x200020b0,0xd11c0888
2,0x200020b0,0xe00e0888
2,0x200020b0,0xeff10888
2,0x200020b0,0xf44b0888
2,0x200020b0,0xfee10888
2,0x200020d0,0x11100888
2,0x200020d0,0x15540888
2,0x200020d0,0x17760888
2,0x200020d0,0x1bba0888
2,0x200020d0,0x1ffe0888
2,0x200020d0,0x2bb90888
2,0x200020d0,0x32210888
2,0x200020d0,0x36650888
2,0x200020d0,0x399a0888
2,0x200020d0,0x3aa90888
2,0x200020d0,0x3ccf0888
2,0x200020d0,0x43370888
2,0x200020d0,0x4bbf0888
2,0x200020d0,0x4cc80888
2,0x200020d0,0x4eea0888
2,0x200020d0,0x51140888
2,0x200020d0,0x55500888
2,0x200020d0,0x5eeb0888
2,0x200020d0,0x61170888
2,0x200020d0,0x6cca0888
2,0x200020d0,0x6ddb0888
2,0x200020d0,0x75520888
2,0x200020d0,0x76610888
2,0x200020d0,0x799e0888
2,0x200020d0,0x99900888
2,0x200020d0,0x9dd40888
2,0x200020d0,0x9ee70888
2,0x200020d0,0xabb10888
2,0x200020d0,0xb3380888
2,0x200020d0,0xb55e0888
2,0x200020d0,0xbcc70888
2,0x200020d0,0xd33e0888
2,0x200020d0,0xd77a0888
2,0x200020d0,0xd9940888
2,0x200020d0,0xddd00888
2,0x200020d0,0xdff20888
2,0x200020d0,0xe6680888
2,0x200020d0,0xe7790888
2,0x200020d0,0xebb50888
2,0x200020d0,0xeff10888
2,0x200020d0,0xf55a0888
2,0x200020d0,0xf6690888
2,0x200020d0,0xf9960888
2,0x200020e0,0x23310888
2,0x200020e0,0x27750888
2,0x200020e0,0x2aa80888
2,0x200020e0,0x2ffd0888
2,0x200020e0,0x33300888
2,0x200020e0,0x34470888
2,0x200020e0,0x3bb80888
2,0x200020e0,0x72250888
2,0x200020e0,0x7aad0888
2,0x200020e0,0x80080888
2,0x200020e0,0x877f0888
2,0x200020e0,0xa2280888
2,0x200020e0,0xa3390888
2,0x200020e0,0xa77d0888
2,0x200020e0,0xaff50888
2,0x200020e0,0xb2290888
2,0x200020e0,0xbaa10888
2,0x200020e0,0xbbb00888
2,0x200020e0,0xc4480888
2,0x200020e0,0xcbb70888
2,0x200020e0,0xf00f0888
2,0x200020e0,0xf22d0888
2,0x200020e0,0xf7780888
2,0x200020e0,0xfaa50888
2,0x20002700,0x0181955c
2,0x20002700,0x0181d11c
2,0x20002700,0x05856ee8
2,0x20002700,0x05859118
2,0x20002700,0x0585d558
2,0x20002700,0x0c8c6ee8
2,0x20002700,0x0e8e4eea
2,0x20002700,0x0e8e6553
2,0x20002700,0x0e8e6cca
2,0x20002700,0x0e8edee3
2,0x20002b00,0x0080844c
2,0x20002b00,0x0080c00c
2,0x20002b00,0x0383c448
2,0x20002b00,0x04843447
2,0x20002b00,0x04846442
2,0x20002b00,0x04848008
2,0x20002b00,0x0484b44f
2,0x20002b00,0x0484c33f
2,0x20002b00,0x0484c66a
2,0x20002b00,0x0484cbb7
2,0x20002b00,0x0484cee2
2,0x20002b00,0x0484e44a
2,0x20002b00,0x0686c448
2,0x20002b00,0x0b8bc448
2,0x20002b00,0x0e8ec448
2,0x20002d00,0x06864cc8
2,0x20002d00,0x0686e668
2,0x20002d00,0x07874cc8
2,0x20002d00,0x0c8c4662
2,0x20002d00,0x0c8c4773
2,0x20002d00,0x0c8c4eea
2,0x20002d00,0x0c8c4ffb
2,0x20002d00,0x0c8c6cca
2,0x20002d00,0x0c8c7ccb
2,0x20002d00,0x0c8cecc2
2,0x20002d00,0x0c8cfcc3
2,0x20002d00,0x0e8e4cc8
2,0x20002d00,0x0e8e6ee8
2,0x20002d00,0x0f8f4cc8
2,0x20002e00,0x02822331
2,0x20002e00,0x02822775
2,0x20002e00,0x02822aa8
2,0x20002e00,0x02822bb9
2,0x20002e00,0x02822ffd
2,0x20002e00,0x02823221
2,0x20002e00,0x02823aa9
2,0x20002e00,0x02827225
2,0x20002e00,0x02827aad
2,0x20002e00,0x0282a228
2,0x20002e00,0x0282a339
2,0x20002e00,0x0282a77d
2,0x20002e00,0x0282abb1
2,0x20002e00,0x0282aff5
2,0x20002e00,0x0282b229
2,0x20002e00,0x0282baa1
2,0x20002e00,0x0282f22d
2,0x20002e00,0x0282faa5
2,0x20002e00,0x03832220
2,0x20002e00,0x03832aa8
2,0x20002e00,0x03833330
2,0x20002e00,0x03833bb8
2,0x20002e00,0x0383a228
2,0x20002e00,0x0383aaa0
2,0x20002e00,0x0383b338
2,0x20002e00,0x0383bbb0
2,0x20002e00,0x07872220
2,0x20002e00,0x07872aa8
2,0x20002e00,0x07877770
2,0x20002e00,0x07877ff8
2,0x20002e00,0x0787a228
2,0x20002e00,0x0787aaa0
2,0x20002e00,0x0787f778
2,0x20002e00,0x0787fff0
2,0x20002e00,0x0a8a2220
2,0x20002e00,0x0a8a2331
2,0x20002e00,0x0a8a2775
2,0x20002e00,0x0a8a2bb9
2,0x20002e00,0x0a8a2ffd
2,0x20002e00,0x0a8a3221
2,0x20002e00,0x0a8a3aa9
2,0x20002e00,0x0a8a7225
2,0x20002e00,0x0a8a7aad
2,0x20002e00,0x0a8aa339
2,0x20002e00,0x0a8aa77d
2,0x20002e00,0x0a8aaaa0
2,0x20002e00,0x0a8aabb1
2,0x20002e00,0x0a8aaff5
2,0x20002e00,0x0a8ab229
2,0x20002e00,0x0a8abaa1
2,0x20002e00,0x0a8af22d
2,0x20002e00,0x0a8afaa5
2,0x20002e00,0x0b8b2220
2,0x20002e00,0x0b8b2aa8
2,0x20002e00,0x0b8b3330
2,0x20002e00,0x0b8b3bb8
2,0x20002e00,0x0b8ba228
2,0x20002e00,0x0b8baaa0
2,0x20002e00,0x0b8bb338
2,0x20002e00,0x0b8bbbb0
2,0x20002e00,0x0f8f2220
2,0x20002e00,0x0f8f2aa8
2,0x20002e00,0x0f8f7770
2,0x20002e00,0x0f8f7ff8
2,0x20002e00,0x0f8fa228
2,0x20002e00,0x0f8faaa0
2,0x20002e00,0x0f8ff778
2,0x20002e00,0x0f8ffff0
2,0x20003000,0x01110888
2,0x20003000,0x02220888
2,0x20003000,0x04440888
2,0x20003000,0x05550888
2,0x20003000,0x06660888
2,0x20003000,0x09990888
2,0x20003000,0x0aaa0888
2,0x20003000,0x0ccc0888
2,0x20003000,0x0ddd0888
2,0x20003000,0x0eee0888
2,0x20003003,0x0044488c
2,0x20003003,0x0244688e
2,0x20003003,0x0244788f
2,0x20003003,0x0344688e
2,0x20003003,0x06cc388b
2,0x20003003,0x0744a882
2,0x20003003,0x08cc488c
2,0x20003003,0x0acc688e
2,0x20003003,0x0acc788f
2,0x20003003,0x0bcc688e
2,0x20003003,0x0e44388b
2,0x20003003,0x0fcca882
2,0x20003005,0x0044e886
2,0x20003005,0x01441889
2,0x20003005,0x02cc1889
2,0x20003005,0x02cc488c
2,0x20003005,0x0544588d
2,0x20003005,0x0544e886
2,0x20003005,0x08cce886
2,0x20003005,0x09cc1889
2,0x20003005,0x0a441889
2,0x20003005,0x0a44488c
2,0x20003005,0x0dcc588d
2,0x20003005,0x0dcce886
2,0x20003006,0x01441889
2,0x20003006,0x01cc388b
2,0x20003006,0x01ccd885
2,0x20003006,0x02cc9881
2,0x20003006,0x0544588d
2,0x20003006,0x05cc9881
2,0x20003006,0x05cce886
2,0x20003006,0x0744d885
2,0x20003006,0x0944388b
2,0x20003006,0x0944d885
2,0x20003006,0x09cc1889
2,0x20003006,0x0a449881
2,0x20003006,0x0d449881
2,0x20003006,0x0d44e886
2,0x20003006,0x0dcc588d
2,0x20003006,0x0fccd885
2,0x20003009,0x0044688e
2,0x20003009,0x0244488c
2,0x20003009,0x02cce886
2,0x20003009,0x08cc688e
2,0x20003009,0x0a44e886
2,0x20003009,0x0acc488c
2,0x2000300a,0x00ccc884
2,0x2000300a,0x0244b883
2,0x2000300a,0x0344788f
2,0x2000300a,0x0344f887
2,0x2000300a,0x03cc788f
2,0x2000300a,0x03cca882
2,0x2000300a,0x0644288a
2,0x2000300a,0x06cca882
2,0x2000300a,0x06ccf887
2,0x2000300a,0x07cc688e
2,0x2000300a,0x0844c884
2,0x2000300a,0x0accb883
2,0x2000300a,0x0b44788f
2,0x2000300a,0x0b44a882
2,0x2000300a,0x0bcc788f
2,0x2000300a,0x0bccf887
2,0x2000300a,0x0e44a882
2,0x2000300a,0x0e44f887
2,0x2000300a,0x0ecc288a
2,0x2000300a,0x0f44688e
2,0x2000300c,0x0344288a
2,0x2000300c,0x0344a882
2,0x2000300c,0x0644788f
2,0x2000300c,0x0644a882
2,0x2000300c,0x06cc288a
2,0x2000300c,0x06cc788f
2,0x2000300c,0x0744388b
2,0x2000300c,0x0bcc288a
2,0x2000300c,0x0bcca882
2,0x2000300c,0x0e44288a
2,0x2000300c,0x0e44788f
2,0x2000300c,0x0ecc788f
2,0x2000300c,0x0ecca882
2,0x2000300c,0x0fcc388b
2,0x20003030,0x11100888
2,0x20003030,0x12230888
2,0x20003030,0x15540888
2,0x20003030,0x25570888
2,0x20003030,0x27750888
2,0x20003030,0x2ffd0888
2,0x20003030,0x30030888
2,0x20003030,0x31120888
2,0x20003030,0x32210888
2,0x20003030,0x35560888
2,0x20003030,0x3aa90888
2,0x20003030,0x40040888
2,0x20003030,0x41150888
2,0x20003030,0x50050888
2,0x20003030,0x61170888
2,0x20003030,0x62240888
2,0x20003030,0x63350888
2,0x20003030,0x66600888
2,0x20003030,0x67710888
2,0x20003030,0x6aac0888
2,0x20003030,0x6bbd0888
2,0x20003030,0x70070888
2,0x20003030,0x72250888
2,0x20003030,0x8aa20888
2,0x20003030,0x8ee60888
2,0x20003030,0x91180888
2,0x20003030,0x933a0888
2,0x20003030,0x955c0888
2,0x20003030,0xa2280888
2,0x20003030,0xa77d0888
2,0x20003030,0xaff50888
2,0x20003030,0xb11a0888
2,0x20003030,0xbaa10888
2,0x20003030,0xbff40888
2,0x20003030,0xc00c0888
2,0x20003030,0xc22e0888
2,0x20003030,0xc5590888
2,0x20003030,0xc66a0888
2,0x20003030,0xc77b0888
2,0x20003030,0xd22f0888
2,0x20003030,0xd77a0888
2,0x20003030,0xdbb60888
2,0x20003030,0xdff20888
2,0x20003030,0xe7790888
2,0x20003030,0xebb50888
2,0x20003030,0xf6690888
2,0x20003030,0xf9960888
2,0x20003050,0x10010888
2,0x20003050,0x13320888
2,0x20003050,0x17760888
2,0x20003050,0x18890888
2,0x20003050,0x19980888
2,0x20003050,0x1aab0888
2,0x20003050,0x1bba0888
2,0x20003050,0x2ffd0888
2,0x20003050,0x33300888
2,0x20003050,0x388b0888
2,0x20003050,0x399a0888
2,0x20003050,0x3bb80888
2,0x20003050,0x488c0888
2,0x20003050,0x4bbf0888
2,0x20003050,0x53360888
2,0x20003050,0x55500888
2,0x20003050,0x57720888
2,0x20003050,0x5aaf0888
2,0x20003050,0x5dd80888
2,0x20003050,0x61170888
2,0x20003050,0x799e0888
2,0x20003050,0x7aad0888
2,0x20003050,0x7bbc0888
2,0x20003050,0x7ee90888
2,0x20003050,0x822a0888
2,0x20003050,0x866e0888
2,0x20003050,0x977e0888
2,0x20003050,0x9aa30888
2,0x20003050,0x9dd40888
2,0x20003050,0x9ff60888
2,0x20003050,0xaff50888
2,0x20003050,0xb3380888
2,0x20003050,0xb44f0888
2,0x20003050,0xb9920888
2,0x20003050,0xbff40888
2,0x20003050,0xc66a0888
2,0x20003050,0xd33e0888
2,0x20003050,0xd9940888
2,0x20003050,0xdaa70888
2,0x20003050,0xddd00888
2,0x20003050,0xe33d0888
2,0x20003050,0xe6680888
2,0x20003050,0xe8860888
2,0x20003050,0xeff10888
2,0x20003050,0xf00f0888
2,0x20003050,0xf11e0888
2,0x20003050,0xf55a0888
2,0x20003050,0xf8870888
2,0x20003050,0xf9960888
2,0x20003050,0xfbb40888
2,0x20003060,0x10010888
2,0x20003060,0x14450888
2,0x20003060,0x17760888
2,0x20003060,0x18890888
2,0x20003060,0x1ccd0888
2,0x20003060,0x1ddc0888
2,0x20003060,0x25570888
2,0x20003060,0x30030888
2,0x20003060,0x32210888
2,0x20003060,0x35560888
2,0x20003060,0x37740888
2,0x20003060,0x3bb80888
2,0x20003060,0x4aae0888
2,0x20003060,0x4bbf0888
2,0x20003060,0x54410888
2,0x20003060,0x55500888
2,0x20003060,0x588d0888
2,0x20003060,0x5cc90888
2,0x20003060,0x5dd80888
2,0x20003060,0x67710888
2,0x20003060,0x7bbc0888
2,0x20003060,0x90090888
2,0x20003060,0x933a0888
2,0x20003060,0x944d0888
2,0x20003060,0x955c0888
2,0x20003060,0x977e0888
2,0x20003060,0x9cc50888
2,0x20003060,0x9dd40888
2,0x20003060,0xa55f0888
2,0x20003060,0xb44f0888
2,0x20003060,0xbcc70888
2,0x20003060,0xc00c0888
2,0x20003060,0xc22e0888
2,0x20003060,0xc5590888
2,0x20003060,0xc77b0888
2,0x20003060,0xd11c0888
2,0x20003060,0xd4490888
2,0x20003060,0xd5580888
2,0x20003060,0xd9940888
2,0x20003060,0xdbb60888
2,0x20003060,0xdcc10888
2,0x20003060,0xdff20888
2,0x20003060,0xe44a0888
2,0x20003060,0xe55b0888
2,0x20003060,0xeaa40888
2,0x20003060,0xebb50888
2,0x20003060,0xecc20888
2,0x20003060,0xfbb40888
2,0x20003090,0x10010888
2,0x20003090,0x13320888
2,0x20003090,0x1bba0888
2,0x20003090,0x27750888
2,0x20003090,0x2ffd0888
2,0x20003090,0x37740888
2,0x20003090,0x3bb80888
2,0x20003090,0x3ffc0888
2,0x20003090,0x41150888
2,0x20003090,0x43370888
2,0x20003090,0x47730888
2,0x20003090,0x488c0888
2,0x20003090,0x499d0888
2,0x20003090,0x4aae0888
2,0x20003090,0x4bbf0888
2,0x20003090,0x4ffb0888
2,0x20003090,0x55500888
2,0x20003090,0x599c0888
2,0x20003090,0x5dd80888
2,0x20003090,0x60060888
2,0x20003090,0x61170888
2,0x20003090,0x63350888
2,0x20003090,0x71160888
2,0x20003090,0x944d0888
2,0x20003090,0x98810888
2,0x20003090,0x9cc50888
2,0x20003090,0xa77d0888
2,0x20003090,0xaff50888
2,0x20003090,0xb00b0888
2,0x20003090,0xb3380888
2,0x20003090,0xb8830888
2,0x20003090,0xc22e0888
2,0x20003090,0xd5580888
2,0x20003090,0xd9940888
2,0x20003090,0xddd00888
2,0x20003090,0xe22c0888
2,0x20003090,0xe9970888
2,0x20003090,0xeaa40888
2,0x20003090,0xebb50888
2,0x20003090,0xf11e0888
2,0x200030a0,0x13320888
2,0x200030a0,0x17760888
2,0x200030a0,0x1bba0888
2,0x200030a0,0x21130888
2,0x200030a0,0x25570888
2,0x200030a0,0x26640888
2,0x200030a0,0x27750888
2,0x200030a0,0x2eec0888
2,0x200030a0,0x31120888
2,0x200030a0,0x32210888
2,0x200030a0,0x3aa90888
2,0x200030a0,0x4aae0888
2,0x200030a0,0x4bbf0888
2,0x200030a0,0x53360888
2,0x200030a0,0x57720888
2,0x200030a0,0x5aaf0888
2,0x200030a0,0x62240888
2,0x200030a0,0x65530888
2,0x200030a0,0x699f0888
2,0x200030a0,0x6aac0888
2,0x200030a0,0x6bbd0888
2,0x200030a0,0x72250888
2,0x200030a0,0x75520888
2,0x200030a0,0x799e0888
2,0x200030a0,0x7dda0888
2,0x200030a0,0x7ee90888
2,0x200030a0,0x81190888
2,0x200030a0,0x866e0888
2,0x200030a0,0x955c0888
2,0x200030a0,0x9bb20888
2,0x200030a0,0xa3390888
2,0x200030a0,0xa66c0888
2,0x200030a0,0xadd70888
2,0x200030a0,0xaee40888
2,0x200030a0,0xb2290888
2,0x200030a0,0xbaa10888
2,0x200030a0,0xc00c0888
2,0x200030a0,0xc8840888
2,0x200030a0,0xd4490888
2,0x200030a0,0xdaa70888
2,0x200030a0,0xedd30888
2,0x200030a0,0xf11e0888
2,0x200030a0,0xf9960888
2,0x200030a0,0xfaa50888
2,0x200030a0,0xfcc30888
2,0x200030a0,0xfee10888
2,0x200030c0,0x12230888
2,0x200030c0,0x13320888
2,0x200030c0,0x22200888
2,0x200030c0,0x23310888
2,0x200030c0,0x299b0888
2,0x200030c0,0x2cce0888
2,0x200030c0,0x2eec0888
2,0x200030c0,0x2ffd0888
2,0x200030c0,0x32210888
2,0x200030c0,0x37740888
2,0x200030c0,0x3ffc0888
2,0x200030c0,0x52270888
2,0x200030c0,0x53360888
2,0x200030c0,0x73340888
2,0x200030c0,0x76610888
2,0x200030c0,0x7ee90888
2,0x200030c0,0x81190888
2,0x200030c0,0x866e0888
2,0x200030c0,0x944d0888
2,0x200030c0,0x955c0888
2,0x200030c0,0xa00a0888
2,0x200030c0,0xa44e0888
2,0x200030c0,0xa9930888
2,0x200030c0,0xabb10888
2,0x200030c0,0xadd70888
2,0x200030c0,0xaee40888
2,0x200030c0,0xaff50888
2,0x200030c0,0xb8830888
2,0x200030c0,0xbdd60888
2,0x200030c0,0xbff40888
2,0x200030c0,0xc00c0888
2,0x200030c0,0xc77b0888
2,0x200030c0,0xd4490888
2,0x200030c0,0xd5580888
2,0x200030c0,0xf11e0888
2,0x200030c0,0xf22d0888
2,0x200030c0,0xf55a0888
2,0x200030c0,0xf6690888
2,0x200030c0,0xfaa50888
2,0x200030c0,0xfcc30888
2,0x200030c0,0xfdd20888
2,0x200030c0,0xfee10888
2,0x20003600,0x01c1955c
2,0x20003600,0x01c1d11c
2,0x20003600,0x05c59118
2,0x20003600,0x05c5d558
2,0x20003600,0x0949955c
2,0x20003600,0x0949d11c
2,0x20003600,0x0d4d9118
2,0x20003600,0x0d4dd558
2,0x20004000,0x01110888
2,0x20004000,0x03330888
2,0x20004000,0x04440888
2,0x20004000,0x06660888
2,0x20004000,0x09990888
2,0x20004000,0x0bbb0888
2,0x20004000,0x0ccc0888
2,0x20004000,0x0eee0888
2,0x20004007,0x0011488c
2,0x20004007,0x00119881
2,0x20004007,0x0211288a
2,0x20004007,0x0211688e
2,0x20004007,0x0311388b
2,0x20004007,0x0411488c
2,0x20004007,0x0411d885
2,0x20004007,0x05111889
2,0x20004007,0x0511488c
2,0x20004007,0x0511588d
2,0x20004007,0x05119881
2,0x20004007,0x0511d885
2,0x20004007,0x0611788f
2,0x20004007,0x0611b883
2,0x20004007,0x0711388b
2,0x20004007,0x0711688e
2,0x20004007,0x08111889
2,0x20004007,0x0811488c
2,0x20004007,0x08119881
2,0x20004007,0x0811d885
2,0x20004007,0x09118880
2,0x20004007,0x0911c884
2,0x20004007,0x0a11788f
2,0x20004007,0x0a11a882
2,0x20004007,0x0b11b883
2,0x20004007,0x0c11488c
2,0x20004007,0x0c11588d
2,0x20004007,0x0c119881
2,0x20004007,0x0c11d885
2,0x20004007,0x0d118880
2,0x20004007,0x0e11e886
2,0x20004007,0x0e11f887
2,0x20004007,0x0f11f887
2,0x2000400b,0x0011588d
2,0x2000400b,0x0211388b
2,0x2000400b,0x02118880
2,0x2000400b,0x0211a882
2,0x2000400b,0x0311b883
2,0x2000400b,0x0311c884
2,0x2000400b,0x04111889
2,0x2000400b,0x0511488c
2,0x2000400b,0x0611c884
2,0x2000400b,0x0611e886
2,0x2000400b,0x07118880
2,0x2000400b,0x0711f887
2,0x2000400b,0x0811d885
2,0x2000400b,0x0911388b
2,0x2000400b,0x0911688e
2,0x2000400b,0x0911b883
2,0x2000400b,0x0911c884
2,0x2000400b,0x0911e886
2,0x2000400b,0x0a11288a
2,0x2000400b,0x0a118880
2,0x2000400b,0x0a11b883
2,0x2000400b,0x0b11388b
2,0x2000400b,0x0b11c884
2,0x2000400b,0x0c119881
2,0x2000400b,0x0d11288a
2,0x2000400b,0x0d11788f
2,0x2000400b,0x0d118880
2,0x2000400b,0x0d11a882
2,0x2000400b,0x0d11c884
2,0x2000400b,0x0d11f887
2,0x2000400b,0x0e11688e
2,0x2000400b,0x0e11c884
2,0x2000400b,0x0f11788f
2,0x2000400b,0x0f118880
2,0x2000400d,0x0011388b
2,0x2000400d,0x0011788f
2,0x2000400d,0x00119881
2,0x2000400d,0x0011d885
2,0x2000400d,0x0011f887
2,0x2000400d,0x02111889
2,0x2000400d,0x0211288a
2,0x2000400d,0x0211488c
2,0x2000400d,0x0211a882
2,0x2000400d,0x0211e886
2,0x2000400d,0x0311388b
2,0x2000400d,0x0411688e
2,0x2000400d,0x04119881
2,0x2000400d,0x0411d885
2,0x2000400d,0x0511388b
2,0x2000400d,0x0511488c
2,0x2000400d,0x0511688e
2,0x2000400d,0x0511b883
2,0x2000400d,0x06111889
2,0x2000400d,0x0611d885
2,0x2000400d,0x0611e886
2,0x2000400d,0x0711488c
2,0x2000400d,0x0711588d
2,0x2000400d,0x07119881
2,0x2000400d,0x08111889
2,0x2000400d,0x0811588d
2,0x2000400d,0x0811688e
2,0x2000400d,0x0a11488c
2,0x2000400d,0x0a11b883
2,0x2000400d,0x0a11d885
2,0x2000400d,0x0b11388b
2,0x2000400d,0x0c111889
2,0x2000400d,0x0c11588d
2,0x2000400d,0x0c11788f
2,0x2000400d,0x0c11b883
2,0x2000400d,0x0c11f887
2,0x2000400d,0x0e111889
2,0x2000400d,0x0e11d885
2,0x2000400d,0x0e11e886
2,0x2000400d,0x0f11388b
2,0x2000400d,0x0f11788f
2,0x2000400d,0x0f11e886
2,0x2000400d,0x0f11f887
2,0x2000400e,0x0211388b
2,0x2000400e,0x0211b883
2,0x2000400e,0x0211c884
2,0x2000400e,0x0311288a
2,0x2000400e,0x0311788f
2,0x2000400e,0x0311b883
2,0x2000400e,0x0311f887
2,0x2000400e,0x0611288a
2,0x2000400e,0x0611a882
2,0x2000400e,0x09118880
2,0x2000400e,0x0911f887
2,0x2000400e,0x0a11288a
2,0x2000400e,0x0a11388b
2,0x2000400e,0x0a11a882
2,0x2000400e,0x0b11788f
2,0x2000400e,0x0b11a882
2,0x2000400e,0x0b11b883
2,0x2000400e,0x0b11f887
2,0x2000400e,0x0d11388b
2,0x2000400e,0x0d11c884
2,0x2000400e,0x0e11288a
2,0x2000400e,0x0e118880
2,0x2000400e,0x0e11a882
2,0x2000400e,0x0e11f887
2,0x20004070,0x10010888
2,0x20004070,0x12230888
2,0x20004070,0x1aab0888
2,0x20004070,0x1ddc0888
2,0x20004070,0x22200888
2,0x20004070,0x31120888
2,0x20004070,0x34470888
2,0x20004070,0x37740888
2,0x20004070,0x388b0888
2,0x20004070,0x3aa90888
2,0x20004070,0x3eed0888
2,0x20004070,0x42260888
2,0x20004070,0x44400888
2,0x20004070,0x4aae0888
2,0x20004070,0x4cc80888
2,0x20004070,0x4ffb0888
2,0x20004070,0x50050888
2,0x20004070,0x55500888
2,0x20004070,0x5cc90888
2,0x20004070,0x5eeb0888
2,0x20004070,0x62240888
2,0x20004070,0x67710888
2,0x20004070,0x6aac0888
2,0x20004070,0x76610888
2,0x20004070,0x788f0888
2,0x20004070,0x7aad0888
2,0x20004070,0x7dda0888
2,0x20004070,0x89910888
2,0x20004070,0x8dd50888
2,0x20004070,0x91180888
2,0x20004070,0x966f0888
2,0x20004070,0x977e0888
2,0x20004070,0x99900888
2,0x20004070,0x9aa30888
2,0x20004070,0x9cc50888
2,0x20004070,0x9dd40888
2,0x20004070,0x9ff60888
2,0x20004070,0xaaa00888
2,0x20004070,0xb2290888
2,0x20004070,0xb66d0888
2,0x20004070,0xb9920888
2,0x20004070,0xbbb00888
2,0x20004070,0xcbb70888
2,0x20004070,0xd22f0888
2,0x20004070,0xd4490888
2,0x20004070,0xd5580888
2,0x20004070,0xd8850888
2,0x20004070,0xdcc10888
2,0x20004070,0xe6680888
2,0x20004070,0xf6690888
2,0x20004070,0xf7780888
2,0x20004070,0xf8870888
2,0x20004070,0xf9960888
2,0x20004070,0xfee10888
2,0x20004070,0xfff00888
2,0x200040b0,0x1eef0888
2,0x200040b0,0x2aa80888
2,0x200040b0,0x2ddf0888
2,0x200040b0,0x388b0888
2,0x200040b0,0x399a0888
2,0x200040b0,0x3bb80888
2,0x200040b0,0x47730888
2,0x200040b0,0x50050888
2,0x200040b0,0x64420888
2,0x200040b0,0x6bbd0888
2,0x200040b0,0x7dda0888
2,0x200040b0,0x7ff80888
2,0x200040b0,0x822a0888
2,0x200040b0,0x877f0888
2,0x200040b0,0x8aa20888
2,0x200040b0,0x8dd50888
2,0x200040b0,0x8ff70888
2,0x200040b0,0x966f0888
2,0x200040b0,0xa2280888
2,0x200040b0,0xadd70888
2,0x200040b0,0xb00b0888
2,0x200040b0,0xb11a0888
2,0x200040b0,0xbbb00888
2,0x200040b0,0xc11d0888
2,0x200040b0,0xc4480888
2,0x200040b0,0xc9950888
2,0x200040b0,0xcbb70888
2,0x200040b0,0xccc00888
2,0x200040b0,0xcff30888
2,0x200040b0,0xd8850888
2,0x200040b0,0xebb50888
